"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferWrite614Kb:ThreadCPU","thrpt",3,5,9784.800000,7090.552455,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb","thrpt",3,5,438.517192,73.007676,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:GC-Collections","thrpt",3,5,11.000000,6.088403,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:GC-Time","thrpt",3,5,48.000000,30.442013,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:JVMCPU","thrpt",3,5,19552.000000,1909.740822,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:MemAlloc","thrpt",3,5,6936471.796000,2709176.912996,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:ThreadCPU","thrpt",3,5,6255.600000,2132.341839,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb","thrpt",3,5,414.211427,24.290990,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:GC-Collections","thrpt",3,5,9.200000,8.780819,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:GC-Time","thrpt",3,5,37.400000,36.994249,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:JVMCPU","thrpt",3,5,15200.000000,245.053479,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:MemAlloc","thrpt",3,5,5891424.390000,348435.875256,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:ThreadCPU","thrpt",3,5,4966.000000,56.395832,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb","thrpt",3,5,380.633081,240.825674,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:GC-Collections","thrpt",3,5,11.200000,12.297970,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:GC-Time","thrpt",3,5,41.600000,62.955379,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:JVMCPU","thrpt",3,5,17174.000000,2503.155505,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:MemAlloc","thrpt",3,5,5793634.308000,1299932.558863,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:ThreadCPU","thrpt",3,5,5408.200000,1569.748896,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb","thrpt",3,5,408.950732,51.220450,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:GC-Collections","thrpt",3,5,30.200000,22.682875,"GC Collections"
